dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
mesophyll_top10000	15121.0	M00879	745.0	403.0	0.0009	0.001804054054054054	1.84863523573201
mesophyll_top10000	15121.0	M00881	349.0	346.0	0.457	0.7297787081339713	1.0086705202312138
mesophyll_top10000	15121.0	M00882	450.0	444.0	0.408	0.6578260869565217	1.0135135135135136
mesophyll_top10000	15121.0	M00883	303.0	363.0	1.0	1.0	0.8347107438016529
mesophyll_top10000	15121.0	M00886	273.0	258.0	0.2	0.3392630241423126	1.058139534883721
mesophyll_top10000	15121.0	M00887	691.0	317.0	0.0009	0.001804054054054054	2.1798107255520507
mesophyll_top10000	15121.0	M00888	484.0	443.0	0.025	0.04622576177285319	1.09255079006772
mesophyll_top10000	15121.0	M00889	369.0	354.0	0.207	0.34980379746835444	1.0423728813559323
mesophyll_top10000	15121.0	M00890	294.0	192.0	0.0009	0.001804054054054054	1.53125
mesophyll_top10000	15121.0	M00891	678.0	358.0	0.0009	0.001804054054054054	1.893854748603352
mesophyll_top10000	15121.0	M00892	802.0	381.0	0.0009	0.001804054054054054	2.10498687664042
mesophyll_top10000	15121.0	M00898	349.0	359.0	0.728	1.0	0.9721448467966574
mesophyll_top10000	15121.0	M00899	377.0	430.0	0.995	1.0	0.8767441860465116
mesophyll_top10000	15121.0	M00900	422.0	408.0	0.261	0.43337686567164185	1.0343137254901962
mesophyll_top10000	15121.0	M00901	330.0	385.0	0.998	1.0	0.8571428571428571
mesophyll_top10000	15121.0	M00962	565.0	461.0	0.0009	0.001804054054054054	1.2255965292841648
mesophyll_top10000	15121.0	M00964	588.0	456.0	0.0009	0.001804054054054054	1.2894736842105263
mesophyll_top10000	15121.0	M00969	675.0	364.5	0.0009	0.001804054054054054	1.8518518518518519
mesophyll_top10000	15121.0	M00970	544.0	326.0	0.0009	0.001804054054054054	1.6687116564417177
mesophyll_top10000	15121.0	M00971	518.0	454.0	0.004	0.007716763005780347	1.1409691629955947
mesophyll_top10000	15121.0	M00974	900.0	427.0	0.0009	0.001804054054054054	2.107728337236534
mesophyll_top10000	15121.0	M00978	632.0	509.0	0.0009	0.001804054054054054	1.2416502946954813
mesophyll_top10000	15121.0	M00979	523.0	345.0	0.0009	0.001804054054054054	1.5159420289855072
mesophyll_top10000	15121.0	M00980	870.0	400.0	0.0009	0.001804054054054054	2.175
mesophyll_top10000	15121.0	M00982	261.0	289.0	0.965	1.0	0.903114186851211
mesophyll_top10000	15121.0	M01045	852.0	292.0	0.0009	0.001804054054054054	2.9178082191780823
mesophyll_top10000	15121.0	M01046	787.0	277.0	0.0009	0.001804054054054054	2.8411552346570397
mesophyll_top10000	15121.0	M01048	482.0	387.0	0.0009	0.001804054054054054	1.2454780361757105
mesophyll_top10000	15121.0	M01050	725.0	330.0	0.0009	0.001804054054054054	2.196969696969697
mesophyll_top10000	15121.0	M01051	881.0	294.0	0.0009	0.001804054054054054	2.996598639455782
