dataset	input_total_peaks	motif	real_int	shuffled_int	p_val	adj_pval	enr_fold
bundle_sheath_top10000	15469.0	M06956	524.0	422.0	0.0009	0.0017695139911634758	1.2417061611374407
bundle_sheath_top10000	15469.0	M06957	508.0	387.0	0.0009	0.0017695139911634758	1.3126614987080103
bundle_sheath_top10000	15469.0	M06958	545.0	378.0	0.0009	0.0017695139911634758	1.4417989417989419
bundle_sheath_top10000	15469.0	M06959	468.0	411.0	0.001	0.0019236311239193085	1.1386861313868613
bundle_sheath_top10000	15469.0	M06960	424.0	368.0	0.003	0.005625	1.1521739130434783
bundle_sheath_top10000	15469.0	M06961	276.0	212.0	0.0009	0.0017695139911634758	1.3018867924528301
bundle_sheath_top10000	15469.0	M06962	441.0	354.0	0.0009	0.0017695139911634758	1.2457627118644068
bundle_sheath_top10000	15469.0	M06963	466.0	392.0	0.0009	0.0017695139911634758	1.1887755102040816
bundle_sheath_top10000	15469.0	M06966	471.0	321.0	0.0009	0.0017695139911634758	1.4672897196261683
bundle_sheath_top10000	15469.0	M06968	783.0	418.0	0.0009	0.0017695139911634758	1.8732057416267942
bundle_sheath_top10000	15469.0	M06969	692.0	423.0	0.0009	0.0017695139911634758	1.635933806146572
bundle_sheath_top10000	15469.0	M06971	608.0	351.0	0.0009	0.0017695139911634758	1.7321937321937322
bundle_sheath_top10000	15469.0	M06972	426.0	301.0	0.0009	0.0017695139911634758	1.415282392026578
bundle_sheath_top10000	15469.0	M06974	256.0	314.0	1.0	1.0	0.8152866242038217
bundle_sheath_top10000	15469.0	M06975	186.0	356.0	1.0	1.0	0.5224719101123596
bundle_sheath_top10000	15469.0	M06976	533.0	423.0	0.0009	0.0017695139911634758	1.260047281323877
bundle_sheath_top10000	15469.0	M06977	518.0	418.0	0.0009	0.0017695139911634758	1.2392344497607655
bundle_sheath_top10000	15469.0	M06984	226.0	298.0	1.0	1.0	0.7583892617449665
bundle_sheath_top10000	15469.0	M06985	207.0	314.0	1.0	1.0	0.6592356687898089
bundle_sheath_top10000	15469.0	M06986	374.0	303.0	0.0009	0.0017695139911634758	1.2343234323432344
bundle_sheath_top10000	15469.0	M06987	229.0	309.0	1.0	1.0	0.7411003236245954
bundle_sheath_top10000	15469.0	M06988	232.0	302.0	1.0	1.0	0.7682119205298014
bundle_sheath_top10000	15469.0	M06989	307.0	282.0	0.083	0.14151340996168585	1.0886524822695036
bundle_sheath_top10000	15469.0	M06990	291.0	342.0	0.999	1.0	0.8508771929824561
bundle_sheath_top10000	15469.0	M06991	325.0	380.0	0.999	1.0	0.8552631578947368
bundle_sheath_top10000	15469.0	M06992	274.0	278.0	0.598	0.897	0.9856115107913669
bundle_sheath_top10000	15469.0	M06993	274.0	297.5	0.917	1.0	0.9210084033613445
bundle_sheath_top10000	15469.0	M06995	78.0	452.0	1.0	1.0	0.17256637168141592
bundle_sheath_top10000	15469.0	M06997	546.0	276.0	0.0009	0.0017695139911634758	1.9782608695652173
bundle_sheath_top10000	15469.0	M06998	659.0	280.0	0.0009	0.0017695139911634758	2.3535714285714286
bundle_sheath_top10000	15469.0	M06999	330.0	354.0	0.901	1.0	0.9322033898305084
bundle_sheath_top10000	15469.0	M07000	377.0	331.0	0.007	0.012854195323246217	1.1389728096676737
bundle_sheath_top10000	15469.0	M07001	175.0	313.0	1.0	1.0	0.5591054313099042
bundle_sheath_top10000	15469.0	M07002	433.0	376.0	0.003	0.005625	1.1515957446808511
bundle_sheath_top10000	15469.0	M07003	374.0	375.0	0.535	0.8134681093394077	0.9973333333333333
bundle_sheath_top10000	15469.0	M07004	330.0	372.0	0.993	1.0	0.8870967741935484
bundle_sheath_top10000	15469.0	M07005	327.0	365.0	0.976	1.0	0.8958904109589041
bundle_sheath_top10000	15469.0	M07006	329.0	377.0	0.994	1.0	0.8726790450928382
bundle_sheath_top10000	15469.0	M07007	630.0	279.0	0.0009	0.0017695139911634758	2.2580645161290325
bundle_sheath_top10000	15469.0	M07008	562.0	252.0	0.0009	0.0017695139911634758	2.2301587301587302
bundle_sheath_top10000	15469.0	M07009	480.0	249.0	0.0009	0.0017695139911634758	1.927710843373494
bundle_sheath_top10000	15469.0	M07010	362.0	336.0	0.08	0.13674775928297053	1.0773809523809523
bundle_sheath_top10000	15469.0	M07012	405.0	325.0	0.0009	0.0017695139911634758	1.2461538461538462
bundle_sheath_top10000	15469.0	M07013	384.0	310.0	0.0009	0.0017695139911634758	1.238709677419355
bundle_sheath_top10000	15469.0	M07014	293.0	310.0	0.851	1.0	0.9451612903225807
bundle_sheath_top10000	15469.0	M07015	278.0	221.0	0.0009	0.0017695139911634758	1.257918552036199
bundle_sheath_top10000	15469.0	M07016	244.0	478.0	1.0	1.0	0.5104602510460251
bundle_sheath_top10000	15469.0	M07017	278.0	434.0	1.0	1.0	0.6405529953917051
bundle_sheath_top10000	15469.0	M07018	273.0	293.0	0.883	1.0	0.931740614334471
bundle_sheath_top10000	15469.0	M07019	265.0	303.0	0.99	1.0	0.8745874587458746
bundle_sheath_top10000	15469.0	M07020	371.0	376.0	0.611	0.9123993288590604	0.9867021276595744
bundle_sheath_top10000	15469.0	M07021	338.0	379.0	0.984	1.0	0.8918205804749341
bundle_sheath_top10000	15469.0	M07024	329.0	361.0	0.957	1.0	0.9113573407202216
bundle_sheath_top10000	15469.0	M07025	324.0	362.0	0.977	1.0	0.8950276243093923
bundle_sheath_top10000	15469.0	M07027	317.0	282.0	0.025	0.04455941255006676	1.124113475177305
bundle_sheath_top10000	15469.0	M07028	348.0	329.0	0.167	0.27456280788177345	1.0577507598784195
bundle_sheath_top10000	15469.0	M07029	217.0	264.0	0.999	1.0	0.821969696969697
bundle_sheath_top10000	15469.0	M07030	295.0	365.0	0.999	1.0	0.8082191780821918
bundle_sheath_top10000	15469.0	M07031	658.0	279.0	0.0009	0.0017695139911634758	2.3584229390681
bundle_sheath_top10000	15469.0	M07032	676.0	324.0	0.0009	0.0017695139911634758	2.0864197530864197
bundle_sheath_top10000	15469.0	M07033	323.0	224.0	0.0009	0.0017695139911634758	1.4419642857142858
bundle_sheath_top10000	15469.0	M07034	355.0	277.0	0.0009	0.0017695139911634758	1.2815884476534296
bundle_sheath_top10000	15469.0	M07035	356.0	324.0	0.045	0.07822265625	1.0987654320987654
bundle_sheath_top10000	15469.0	M07036	361.0	350.0	0.272	0.4333174224343676	1.0314285714285714
bundle_sheath_top10000	15469.0	M07037	366.0	307.5	0.002	0.0037765205091937768	1.1902439024390243
bundle_sheath_top10000	15469.0	M07038	395.0	333.0	0.001	0.0019236311239193085	1.1861861861861862
bundle_sheath_top10000	15469.0	M07040	329.0	471.0	1.0	1.0	0.6985138004246284
bundle_sheath_top10000	15469.0	M07041	230.0	237.0	0.67	0.9850770925110133	0.9704641350210971
bundle_sheath_top10000	15469.0	M07042	746.0	346.0	0.0009	0.0017695139911634758	2.1560693641618496
bundle_sheath_top10000	15469.0	M07043	638.0	463.0	0.0009	0.0017695139911634758	1.3779697624190064
bundle_sheath_top10000	15469.0	M07044	229.0	296.0	1.0	1.0	0.7736486486486487
bundle_sheath_top10000	15469.0	M07045	268.0	354.0	1.0	1.0	0.7570621468926554
bundle_sheath_top10000	15469.0	M07046	267.0	312.0	0.996	1.0	0.8557692307692307
bundle_sheath_top10000	15469.0	M07047	195.0	221.0	0.977	1.0	0.8823529411764706
bundle_sheath_top10000	15469.0	M07048	705.0	288.0	0.0009	0.0017695139911634758	2.4479166666666665
bundle_sheath_top10000	15469.0	M07049	720.0	359.0	0.0009	0.0017695139911634758	2.0055710306406684
bundle_sheath_top10000	15469.0	M07050	799.0	412.0	0.0009	0.0017695139911634758	1.9393203883495145
bundle_sheath_top10000	15469.0	M07051	674.0	315.0	0.0009	0.0017695139911634758	2.1396825396825396
bundle_sheath_top10000	15469.0	M07052	619.0	311.0	0.0009	0.0017695139911634758	1.9903536977491962
bundle_sheath_top10000	15469.0	M07056	329.0	311.0	0.159	0.2617324290998767	1.0578778135048232
bundle_sheath_top10000	15469.0	M07057	361.0	354.0	0.363	0.5687852112676056	1.0197740112994351
bundle_sheath_top10000	15469.0	M07058	356.0	364.0	0.691	1.0	0.978021978021978
bundle_sheath_top10000	15469.0	M07059	254.0	194.0	0.0009	0.0017695139911634758	1.309278350515464
bundle_sheath_top10000	15469.0	M07060	177.0	204.0	0.973	1.0	0.8676470588235294
bundle_sheath_top10000	15469.0	M07061	344.0	292.0	0.001	0.0019236311239193085	1.178082191780822
bundle_sheath_top10000	15469.0	M07062	359.0	284.0	0.0009	0.0017695139911634758	1.2640845070422535
bundle_sheath_top10000	15469.0	M07063	335.0	429.0	1.0	1.0	0.7808857808857809
bundle_sheath_top10000	15469.0	M07064	302.0	338.0	0.984	1.0	0.893491124260355
bundle_sheath_top10000	15469.0	M07065	448.0	384.0	0.0009	0.0017695139911634758	1.1666666666666667
bundle_sheath_top10000	15469.0	M07066	290.0	438.0	1.0	1.0	0.6621004566210046
bundle_sheath_top10000	15469.0	M07067	395.0	362.0	0.036	0.06323684210526316	1.091160220994475
bundle_sheath_top10000	15469.0	M07068	710.0	295.0	0.0009	0.0017695139911634758	2.406779661016949
bundle_sheath_top10000	15469.0	M07069	555.0	232.0	0.0009	0.0017695139911634758	2.3922413793103448
bundle_sheath_top10000	15469.0	M07070	591.0	238.0	0.0009	0.0017695139911634758	2.4831932773109244
bundle_sheath_top10000	15469.0	M07071	539.0	308.0	0.0009	0.0017695139911634758	1.75
bundle_sheath_top10000	15469.0	M07072	406.0	319.0	0.0009	0.0017695139911634758	1.2727272727272727
bundle_sheath_top10000	15469.0	M07073	328.0	301.0	0.056	0.09683937823834197	1.089700996677741
bundle_sheath_top10000	15469.0	M07076	869.0	378.0	0.0009	0.0017695139911634758	2.298941798941799
bundle_sheath_top10000	15469.0	M07077	608.0	271.0	0.0009	0.0017695139911634758	2.243542435424354
bundle_sheath_top10000	15469.0	M07078	503.0	430.0	0.0009	0.0017695139911634758	1.169767441860465
bundle_sheath_top10000	15469.0	M07079	227.0	224.0	0.451	0.6952482678983835	1.0133928571428572
bundle_sheath_top10000	15469.0	M07080	292.0	397.0	1.0	1.0	0.7355163727959698
bundle_sheath_top10000	15469.0	M07081	370.0	320.0	0.003	0.005625	1.15625
bundle_sheath_top10000	15469.0	M07082	343.0	295.0	0.006	0.01107883817427386	1.1627118644067798
bundle_sheath_top10000	15469.0	M07083	378.0	393.5	0.78	1.0	0.9606099110546379
bundle_sheath_top10000	15469.0	M07084	468.0	506.0	0.962	1.0	0.924901185770751
bundle_sheath_top10000	15469.0	M07085	398.0	460.0	0.997	1.0	0.8652173913043478
bundle_sheath_top10000	15469.0	M07086	282.0	363.0	1.0	1.0	0.7768595041322314
bundle_sheath_top10000	15469.0	M07089	178.0	301.0	1.0	1.0	0.5913621262458472
bundle_sheath_top10000	15469.0	M07090	277.0	310.0	0.98	1.0	0.8935483870967742
bundle_sheath_top10000	15469.0	M07091	342.0	305.0	0.026	0.04621837549933422	1.1213114754098361
bundle_sheath_top10000	15469.0	M07092	289.0	207.0	0.0009	0.0017695139911634758	1.396135265700483
bundle_sheath_top10000	15469.0	M07093	258.0	278.0	0.89	1.0	0.9280575539568345
bundle_sheath_top10000	15469.0	M07094	144.0	285.0	1.0	1.0	0.5052631578947369
bundle_sheath_top10000	15469.0	M07095	702.0	393.0	0.0009	0.0017695139911634758	1.786259541984733
bundle_sheath_top10000	15469.0	M07096	458.0	307.0	0.0009	0.0017695139911634758	1.49185667752443
bundle_sheath_top10000	15469.0	M07097	343.0	320.0	0.111	0.18686633039092057	1.071875
bundle_sheath_top10000	15469.0	M07098	343.0	303.0	0.012	0.021648648648648648	1.132013201320132
bundle_sheath_top10000	15469.0	M07099	372.0	335.0	0.027	0.04786852589641434	1.1104477611940298
bundle_sheath_top10000	15469.0	M07100	747.0	262.0	0.0009	0.0017695139911634758	2.851145038167939
bundle_sheath_top10000	15469.0	M07101	684.0	247.0	0.0009	0.0017695139911634758	2.769230769230769
bundle_sheath_top10000	15469.0	M07102	375.0	388.0	0.76	1.0	0.9664948453608248
bundle_sheath_top10000	15469.0	M07103	344.0	374.0	0.946	1.0	0.9197860962566845
bundle_sheath_top10000	15469.0	M07104	413.0	387.0	0.085	0.14473852040816326	1.0671834625322998
