motif_id,gene_id
M00008,Zm00001d050368
M00008,Zm00001d051861
M00008,Zm00001d042960
M00008,Zm00001d006035
M00008,Zm00001d006034
M00008,Zm00001d018515
M00008,Zm00001d037425
M00008,Zm00001d032239
M00008,Zm00001d037159
M00008,Zm00001d020951
M00153,Zm00001d050664
M00153,Zm00001d007384
M00153,Zm00001d016907
M00153,Zm00001d023465
M00153,Zm00001d016906
M00153,Zm00001d033566
M00153,Zm00001d004512
M00153,Zm00001d016737
M00153,Zm00001d038664
M00154,Zm00001d007384
M00154,Zm00001d004512
M00154,Zm00001d033566
M00154,Zm00001d023465
M00154,Zm00001d016737
M00154,Zm00001d016906
M00154,Zm00001d038664
M00154,Zm00001d050664
M00154,Zm00001d016907
M00216,Zm00001d013631
M00216,Zm00001d013856
M00216,Zm00001d033472
M00662,Zm00001d016906
M00662,Zm00001d033566
M00662,Zm00001d038664
M00662,Zm00001d023465
M00662,Zm00001d004512
M00662,Zm00001d050664
M00662,Zm00001d016737
M00662,Zm00001d026355
M00662,Zm00001d045365
M00662,Zm00001d007384
M00662,Zm00001d016907
M00717,Zm00001d031673
M00717,Zm00001d025409
M00717,Zm00001d005892
M00717,Zm00001d042717
M00717,Zm00001d021089
M00717,Zm00001d031796
M00717,Zm00001d003884
M00717,Zm00001d053195
M00717,Zm00001d002364
M00717,Zm00001d040651
M00717,Zm00001d038320
M00717,Zm00001d016616
M00717,Zm00001d026271
M00717,Zm00001d010175
M00717,Zm00001d023535
M00717,Zm00001d025281
M00717,Zm00001d009103
M00718,Zm00001d034920
M00718,Zm00001d011499
M00718,Zm00001d044004
M00718,Zm00001d019744
M00718,Zm00001d027686
M00718,Zm00001d027687
M00718,Zm00001d010676
M00718,Zm00001d014113
M00719,Zm00001d005798
M00719,Zm00001d049364
M00719,Zm00001d053707
M00719,Zm00001d012585
M00719,Zm00001d047339
M00719,Zm00001d018305
M00719,Zm00001d019215
M00719,Zm00001d053195
M00719,Zm00001d025298
M00719,Zm00001d016623
M00719,Zm00001d032095
M00719,Zm00001d020595
M00719,Zm00001d002762
M00719,Zm00001d052365
M00719,Zm00001d015639
M00719,Zm00001d038585
M00719,Zm00001d003871
M00719,Zm00001d002760
M00719,Zm00001d026191
M00719,Zm00001d043491
M00719,Zm00001d045262
M00719,Zm00001d036251
M00719,Zm00001d043205
M00719,Zm00001d000339
M00719,Zm00001d002761
M00719,Zm00001d024324
M00719,Zm00001d027925
M00719,Zm00001d052087
M00719,Zm00001d003884
M00719,Zm00001d021089
M00719,Zm00001d005892
M00719,Zm00001d019216
M00719,Zm00001d040651
M00719,Zm00001d045044
M00719,Zm00001d031796
M00719,Zm00001d025281
M00719,Zm00001d010175
M00719,Zm00001d027687
M00719,Zm00001d027686
M00719,Zm00001d014113
M00719,Zm00001d019744
M00719,Zm00001d037941
M00719,Zm00001d010676
M00719,Zm00001d011499
M00719,Zm00001d044004
M00719,Zm00001d009103
M00719,Zm00001d031673
M00719,Zm00001d018158
M00720,Zm00001d039019
M00720,Zm00001d019744
M00720,Zm00001d002761
M00720,Zm00001d031673
M00720,Zm00001d009573
M00720,Zm00001d002760
M00720,Zm00001d025281
M00720,Zm00001d027686
M00720,Zm00001d043491
M00720,Zm00001d027687
M00720,Zm00001d017466
M00720,Zm00001d052167
M00720,Zm00001d032095
M00720,Zm00001d002762
M00720,Zm00001d038585
M00720,Zm00001d038584
M00720,Zm00001d000339
M00720,Zm00001d003884
M00720,Zm00001d026191
M00720,Zm00001d025409
M00720,Zm00001d027925
M00720,Zm00001d018158
M00720,Zm00001d017462
M00720,Zm00001d014113
M00721,Zm00001d025281
M00721,Zm00001d012585
M00721,Zm00001d052087
M00721,Zm00001d027687
M00721,Zm00001d009573
M00721,Zm00001d002762
M00721,Zm00001d017466
M00721,Zm00001d052365
M00721,Zm00001d017462
M00721,Zm00001d038584
M00721,Zm00001d039019
M00721,Zm00001d042717
M00721,Zm00001d053195
M00721,Zm00001d038320
M00721,Zm00001d003884
M00721,Zm00001d010676
M00721,Zm00001d024324
M00721,Zm00001d005892
M00721,Zm00001d020595
M00721,Zm00001d027686
M00721,Zm00001d031796
M00721,Zm00001d010175
M00721,Zm00001d045044
M00721,Zm00001d026191
M00721,Zm00001d014113
M00721,Zm00001d011499
M00721,Zm00001d021089
M00721,Zm00001d044004
M00721,Zm00001d043205
M00721,Zm00001d036251
M00721,Zm00001d045262
M00721,Zm00001d043491
M00721,Zm00001d002760
M00721,Zm00001d019744
M00721,Zm00001d002761
M00721,Zm00001d031673
M00722,Zm00001d031044
M00722,Zm00001d000291
M00722,Zm00001d005750
M00722,Zm00001d008205
M00722,Zm00001d024783
M00722,Zm00001d033267
M00722,Zm00001d040536
M00722,Zm00001d040535
M00722,Zm00001d045107
M00722,Zm00001d034298
M00722,Zm00001d018416
M00722,Zm00001d020490
M00722,Zm00001d045212
M00723,Zm00001d020939
M00723,Zm00001d031445
M00724,Zm00001d007188
M00724,Zm00001d028974
M00724,Zm00001d047563
M00724,Zm00001d022530
M00725,Zm00001d007188
M00725,Zm00001d047563
M00725,Zm00001d028974
M00725,Zm00001d022530
M00726,Zm00001d022530
M00726,Zm00001d028974
M00726,Zm00001d047563
M00726,Zm00001d007188
M00727,Zm00001d025953
M00727,Zm00001d029896
M00727,Zm00001d010785
M00727,Zm00001d017409
M00727,Zm00001d012757
M00727,Zm00001d018421
M00727,Zm00001d048391
M00727,Zm00001d038801
M00727,Zm00001d047081
M00727,Zm00001d002811
M00727,Zm00001d051981
M00728,Zm00001d005875
M00728,Zm00001d000303
M00728,Zm00001d028304
M00728,Zm00001d044081
M00728,Zm00001d030191
M00728,Zm00001d002754
M00728,Zm00001d014629
M00728,Zm00001d045400
M00728,Zm00001d050834
M00728,Zm00001d045398
M00728,Zm00001d029934
M00728,Zm00001d036118
M00728,Zm00001d047995
M00728,Zm00001d036510
M00728,Zm00001d014628
M00728,Zm00001d031745
M00728,Zm00001d020670
M00728,Zm00001d014630
M00729,Zm00001d050404
M00729,Zm00001d032384
M00729,Zm00001d028984
M00729,Zm00001d001936
M00729,Zm00001d038527
M00729,Zm00001d017726
M00729,Zm00001d020020
M00729,Zm00001d029020
M00729,Zm00001d010634
M00729,Zm00001d015407
M00729,Zm00001d020019
M00729,Zm00001d002439
M00729,Zm00001d038546
M00729,Zm00001d032190
M00729,Zm00001d046947
M00729,Zm00001d022526
M00730,Zm00001d020982
M00730,Zm00001d035266
M00730,Zm00001d006053
M00730,Zm00001d041791
M00731,Zm00001d024376
M00731,Zm00001d011527
M00731,Zm00001d037054
M00731,Zm00001d039032
M00731,Zm00001d017712
M00731,Zm00001d009698
M00731,Zm00001d013709
M00731,Zm00001d041397
M00731,Zm00001d034475
M00731,Zm00001d013708
M00731,Zm00001d030969
M00731,Zm00001d026252
M00731,Zm00001d011403
M00731,Zm00001d050195
M00731,Zm00001d013307
M00731,Zm00001d011413
M00731,Zm00001d034073
M00731,Zm00001d043474
