GO:0009686	Zm00001d034898
GO:0051276	Zm00001d047808
GO:0060627	Zm00001d022435
GO:0045184	Zm00001d037452
GO:0010192	Zm00001d021930
GO:0010558	Zm00001d029586
GO:0019471	Zm00001d038531
GO:0016311	Zm00001d010008
GO:1990748	Zm00001d028378
GO:0009108	Zm00001d034493
GO:1901565	Zm00001d038224
GO:0032989	Zm00001d047128
GO:0006220	Zm00001d031602
GO:0048437	Zm00001d012500
GO:0062012	Zm00001d053138
GO:0071396	Zm00001d037055
GO:1901615	Zm00001d047998
GO:0006163	Zm00001d022581
GO:0009696	Zm00001d042210
GO:0034599	Zm00001d027511
GO:0051188	Zm00001d016626
GO:0031328	Zm00001d000179
GO:0044283	Zm00001d041319
GO:0040007	Zm00001d050111
GO:0044255	Zm00001d023238
GO:0006732	Zm00001d042874
GO:0007568	Zm00001d005501
GO:0046713	Zm00001d042982
GO:0051274	Zm00001d027392
GO:0017144	Zm00001d009488
GO:0022607	Zm00001d013440
GO:0032507	Zm00001d021306
GO:1902183	Zm00001d018460
GO:0007018	Zm00001d019187
GO:0002831	Zm00001d049704
GO:0010604	Zm00001d032215
GO:0002832	Zm00001d048359
GO:0031669	Zm00001d012196
GO:0055082	Zm00001d025241
GO:0008610	Zm00001d032757
GO:0008610	Zm00001d008509
GO:0071241	Zm00001d014061
GO:1901135	Zm00001d037233
GO:0032956	Zm00001d007146
GO:0006261	Zm00001d049190
GO:0009690	Zm00001d033642
GO:0043632	Zm00001d053738
GO:2000113	Zm00001d012498
GO:0097305	Zm00001d042727
GO:0051338	Zm00001d003592
GO:0034613	Zm00001d009324
GO:0009957	Zm00001d041740
GO:0033865	Zm00001d013650
GO:0042737	Zm00001d006937
GO:0080167	Zm00001d050403
GO:0009735	Zm00001d020459
GO:0006401	Zm00001d024889
GO:0097237	Zm00001d009373
GO:0010229	Zm00001d037114
GO:0048232	Zm00001d041414
GO:0045814	Zm00001d017831
GO:0048580	Zm00001d004025
GO:0048831	Zm00001d014938
GO:0055080	Zm00001d022504
GO:0048831	Zm00001d027395
GO:0022411	Zm00001d000156
GO:0019684	Zm00001d011210
GO:0007568	Zm00001d037605
GO:0044255	Zm00001d050159
GO:0007094	Zm00001d025721
GO:0032870	Zm00001d011352
GO:0048586	Zm00001d010476
GO:0034613	Zm00001d039254
GO:0007389	Zm00001d018024
GO:0052249	Zm00001d018152
GO:0007030	Zm00001d043502
GO:0051258	Zm00001d047923
GO:0009723	Zm00001d045044
GO:0048527	Zm00001d033947
GO:0071248	Zm00001d010162
GO:0010466	Zm00001d040028
GO:0072505	Zm00001d053094
GO:0048522	Zm00001d040831
GO:0010101	Zm00001d023520
GO:0051239	Zm00001d052185
GO:0071484	Zm00001d028232
GO:0071396	Zm00001d043477
GO:0009755	Zm00001d049659
GO:0033043	Zm00001d003322
GO:0010646	Zm00001d039341
GO:0051510	Zm00001d042821
GO:0010090	Zm00001d044973
GO:0048366	Zm00001d002824
GO:0022607	Zm00001d015493
GO:0046156	Zm00001d011429
GO:0015988	Zm00001d006564
GO:0065009	Zm00001d051553
GO:0048588	Zm00001d034914
GO:0007568	Zm00001d043675
GO:0009267	Zm00001d004857
GO:0000394	Zm00001d021347
GO:0065009	Zm00001d027886
GO:0071554	Zm00001d050850
GO:0043543	Zm00001d011692
GO:0031325	Zm00001d029512
GO:0048765	Zm00001d016687
GO:0061024	Zm00001d025153
GO:0098656	Zm00001d043721
GO:0010604	Zm00001d049294
GO:0048232	Zm00001d005874
GO:0045184	Zm00001d008997
GO:0007010	Zm00001d018475
GO:0034660	Zm00001d012549
GO:0071229	Zm00001d023392
GO:0060918	Zm00001d053718
GO:0000902	Zm00001d017860
GO:0010038	Zm00001d034947
GO:0000902	Zm00001d041711
GO:2001143	Zm00001d033272
GO:0032989	Zm00001d052598
GO:0045935	Zm00001d030537
GO:0044403	Zm00001d034365
GO:0090351	Zm00001d013412
GO:0009733	Zm00001d021455
GO:0048764	Zm00001d033367
GO:0019184	Zm00001d007658
GO:0043269	Zm00001d015470
GO:0006506	Zm00001d051582
GO:0016072	Zm00001d002195
GO:0006812	Zm00001d046304
GO:0022613	Zm00001d052719
GO:0031347	Zm00001d041092
GO:2000241	Zm00001d048404
GO:0043393	Zm00001d007240
GO:0014070	Zm00001d003938
GO:0042744	Zm00001d022280
GO:0044283	Zm00001d039634
GO:0010310	Zm00001d046322
GO:0044283	Zm00001d019629
GO:0016108	Zm00001d039697
GO:0051246	Zm00001d032215
GO:0006520	Zm00001d006242
GO:0006325	Zm00001d006780
GO:0019637	Zm00001d047241
GO:0010027	Zm00001d039852
GO:0071495	Zm00001d043741
GO:1901565	Zm00001d030990
GO:0055082	Zm00001d052022
GO:0009735	Zm00001d013076
GO:0071453	Zm00001d046319
GO:0048878	Zm00001d038792
GO:0071897	Zm00001d011762
GO:0046686	Zm00001d010523
GO:0051649	Zm00001d012017
GO:0016114	Zm00001d029648
GO:0034401	Zm00001d035023
GO:0044706	Zm00001d006372
GO:0015031	Zm00001d019020
GO:0010646	Zm00001d019263
GO:0009657	Zm00001d028408
GO:0036294	Zm00001d005911
GO:0045087	Zm00001d021126
GO:0051276	Zm00001d042615
GO:1905039	Zm00001d042134
GO:0000280	Zm00001d007233
GO:0010228	Zm00001d038097
GO:0009266	Zm00001d018090
GO:0030036	Zm00001d030782
GO:1900424	Zm00001d037105
GO:0032504	Zm00001d053625
GO:0009658	Zm00001d035040
GO:0043086	Zm00001d017863
GO:0070085	Zm00001d018140
GO:0014070	Zm00001d031863
GO:0071496	Zm00001d048901
GO:0045934	Zm00001d010863
GO:0006812	Zm00001d038576
GO:0006457	Zm00001d018944
GO:0010244	Zm00001d050850
